Country,Year,Age Group,,No Schooling,Primary Total,Primary Completed,Secondary Total,Secondary Completed,Tertiary Total,Tertiary Completed,Avg. Years of Total Schooling,Avg. Years of Primary Schooling,Avg. Years of Secondary Schooling,Avg. Years of Tertiary Schooling,"Population
(1000s)",Region
,1965,15,64,26.68,57.88,19.53,13.8,2.55,1.64,1.35,3.469,2.708,0.702,0.06,9810,Latin America and the Caribbean
,1970,15,64,22.33,57.1,19.93,18.25,3.47,2.32,1.86,3.976,2.954,0.938,0.084,11477,Latin America and the Caribbean
,1975,15,64,19.29,55.18,20.21,22.62,4.21,2.89,2.35,4.428,3.16,1.163,0.105,13453,Latin America and the Caribbean
,1980,15,64,15.77,53.37,20.15,26.15,5.32,4.7,3.87,4.987,3.381,1.435,0.171,15800,Latin America and the Caribbean
,1985,15,64,12.19,50.81,20.59,30.57,7.31,6.43,5.36,5.625,3.635,1.755,0.236,18419,Latin America and the Caribbean
,1990,15,64,10.44,47.37,19.67,33.6,9.78,8.59,7.21,6.156,3.785,2.055,0.316,20871,Latin America and the Caribbean
,1995,15,64,10.21,41.68,17.81,38.03,14.55,10.05,8.52,6.678,3.891,2.415,0.371,23538,Latin America and the Caribbean
,2000,15,64,8.12,42.28,24,39.5,21.18,10.1,8.57,7.12,4.137,2.61,0.373,26306,Latin America and the Caribbean
,2005,15,64,4.84,43.92,29.18,42.76,32.76,8.35,7.2,7.561,4.383,2.867,0.311,29137,Latin America and the Caribbean
,2010,15,64,4.4,26.53,26.5,46.78,27.1,22.28,18.79,9.351,4.779,3.75,0.821,32102,Latin America and the Caribbean
,2015,15,64,4.2,22.37,22.32,49.12,20.66,24.32,20.32,9.519,4.789,3.837,0.893,32208,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Costa Rica,1950,15,64,19.19,72.65,18.35,6.58,2.35,1.59,1.23,3.601,3.22,0.324,0.056,547,Latin America and the Caribbean
,1955,15,64,17.96,72.39,20.49,7.65,2.65,1.99,1.47,3.816,3.365,0.382,0.069,602,Latin America and the Caribbean
,1960,15,64,17.66,71.22,21.17,8.72,2.98,2.39,1.76,3.963,3.439,0.441,0.083,674,Latin America and the Caribbean
,1965,15,64,16.65,69.77,22.67,10.71,3.6,2.84,2.08,4.22,3.586,0.535,0.098,772,Latin America and the Caribbean
,1970,15,64,16.15,69.89,15.27,11.09,3.79,2.81,1.98,4.033,3.389,0.549,0.096,921,Latin America and the Caribbean
,1975,15,64,10.77,64.99,24.1,18.55,7.19,5.66,3.75,5.297,4.125,0.983,0.188,1106,Latin America and the Caribbean
,1980,15,64,8.12,61,33.76,22.38,9.19,8.51,5.68,6.26,4.696,1.28,0.284,1349,Latin America and the Caribbean
,1985,15,64,6.05,57.59,36.02,26.06,11.59,10.3,7.86,6.882,4.99,1.529,0.363,1594,Latin America and the Caribbean
,1990,15,64,5.43,54.74,36.42,27.4,13,12.44,10.24,7.282,5.125,1.704,0.454,1822,Latin America and the Caribbean
,1995,15,64,5.09,51.27,34.51,29.21,14.23,14.43,12.57,7.614,5.192,1.882,0.54,2100,Latin America and the Caribbean
,2000,15,64,4.17,47.08,33.15,34.5,16.71,14.25,13.14,7.961,5.332,2.082,0.548,2468,Latin America and the Caribbean
,2005,15,64,2.53,40.17,28.56,41.93,20.32,15.37,14.19,8.525,5.5,2.433,0.591,2849,Latin America and the Caribbean
,2010,15,64,2.72,46.62,34.75,33.56,21.44,17.1,15.8,8.429,5.481,2.291,0.658,3164,Latin America and the Caribbean
,2015,15,64,9.93,28.21,22.17,40.76,18.24,21.11,14.3,8.574,5.223,2.643,0.708,3355,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cuba,1950,15,64,23.84,70.79,29.33,3.89,1.26,1.47,1.1,3.58,3.326,0.202,0.051,3470,Latin America and the Caribbean
,1955,15,64,22.69,71.24,29.32,4.63,1.47,1.48,1.12,3.663,3.384,0.227,0.052,3832,Latin America and the Caribbean
,1960,15,64,20.82,68.38,31.07,9.09,3.03,1.71,1.25,4.079,3.632,0.388,0.059,4237,Latin America and the Caribbean
,1965,15,64,17.93,65.7,31.46,14.32,4.89,2.05,1.47,4.55,3.897,0.583,0.07,4539,Latin America and the Caribbean
,1970,15,64,12.35,62.89,32.3,21.86,8.27,2.9,1.98,5.414,4.341,0.976,0.098,4815,Latin America and the Caribbean
,1975,15,64,7.04,56.85,30.14,32.35,12.6,3.76,2.68,6.485,4.776,1.58,0.129,5162,Latin America and the Caribbean
,1980,15,64,3.56,43.61,23.75,48.05,19.05,4.8,3.25,7.82,5.192,2.468,0.161,5823,Latin America and the Caribbean
,1985,15,64,5.32,31.01,17.08,57.53,24.61,6.14,4.15,8.637,5.263,3.168,0.206,6552,Latin America and the Caribbean
,1990,15,64,6.51,23.09,13.12,63.09,29.14,7.32,5.09,9.208,5.31,3.649,0.248,7235,Latin America and the Caribbean
,1995,15,64,7.14,17.36,10.31,67.12,32.95,8.37,6.14,9.582,5.36,3.932,0.29,7484,Latin America and the Caribbean
,2000,15,64,6.7,13.51,8.53,70.95,35.1,8.84,6.67,9.88,5.449,4.121,0.31,7714,Latin America and the Caribbean
,2005,15,64,5.02,11.82,7.66,69.7,34.6,13.47,8.34,10.36,5.574,4.349,0.436,7901,Latin America and the Caribbean
,2010,15,64,3.49,9.83,6.56,64.84,32.87,21.83,13.11,11.056,5.692,4.665,0.699,7962,Latin America and the Caribbean
,2015,15,64,0.77,14.84,8.06,68.89,43.25,15.51,13.86,11.096,5.751,4.758,0.587,7846,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dominican Rep.,1950,15,64,40.98,55.38,15.35,2.9,0.52,0.74,0.3,2.532,2.34,0.171,0.021,1230,Latin America and the Caribbean
,1955,15,64,39.72,56.64,15.74,2.88,0.52,0.76,0.31,2.583,2.39,0.171,0.021,1427,Latin America and the Caribbean
,1960,15,64,34.56,61.45,16.45,3.18,0.61,0.8,0.31,2.785,2.575,0.187,0.022,1662,Latin America and the Caribbean
,1965,15,64,32.64,56.44,8.93,9.6,1.85,1.33,0.34,3.15,2.616,0.5,0.033,1934,Latin America and the Caribbean
,1970,15,64,31.01,50.08,5.69,16.95,3.83,2.01,0.48,3.735,2.811,0.875,0.05,2282,Latin America and the Caribbean
,1975,15,64,27.52,48.59,7.9,20.9,4.36,2.99,0.63,4.304,3.129,1.103,0.072,2719,Latin America and the Caribbean
,1980,15,64,23.42,47.04,9.89,24.92,5.72,4.62,0.93,4.979,3.48,1.388,0.111,3186,Latin America and the Caribbean
,1985,15,64,20.02,45.33,10.6,28.01,7.14,6.64,1.35,5.578,3.757,1.661,0.16,3738,Latin America and the Caribbean
,1990,15,64,16.51,43.49,12.7,30.45,8.59,9.55,1.95,6.129,4.086,1.813,0.23,4265,Latin America and the Caribbean
,1995,15,64,12.97,44.24,14.67,31,9.89,11.8,2.54,6.58,4.335,1.958,0.287,4777,Latin America and the Caribbean
,2000,15,64,10.34,43.01,14.68,32.38,11.38,14.26,3.13,7.027,4.529,2.15,0.348,5275,Latin America and the Caribbean
,2005,15,64,8.2,40.88,14.85,34.2,14.05,16.72,3.73,7.537,4.727,2.401,0.409,5772,Latin America and the Caribbean
,2010,15,64,6.51,31.45,11.9,49.88,23.44,12.15,3.06,8.124,5.023,2.797,0.304,6306,Latin America and the Caribbean
,2015,15,64,4.12,20.94,5.21,55.21,32.94,19.73,14.67,9.726,5.281,3.757,0.688,6647,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ecuador,1950,15,64,45.44,47.85,14.95,5.93,2.7,0.8,0.43,2.619,2.288,0.307,0.025,1869,Latin America and the Caribbean
,1955,15,64,38.91,52.58,14.15,7.47,3.38,1.03,0.53,2.931,2.512,0.388,0.031,2059,Latin America and the Caribbean
,1960,15,64,32.28,57.09,14.03,9.37,4.2,1.24,0.65,3.29,2.771,0.482,0.038,2301,Latin America and the Caribbean
,1965,15,64,29.18,57.51,27.09,11.51,5.18,1.8,0.81,3.998,3.337,0.609,0.052,2616,Latin America and the Caribbean
,1970,15,64,26.57,57.05,34.45,13.86,6.21,2.52,1.05,4.552,3.727,0.753,0.071,3067,Latin America and the Caribbean
,1975,15,64,23.78,55.24,36.93,17.67,7.46,3.29,1.37,5.067,4.023,0.951,0.093,3601,Latin America and the Caribbean
,1980,15,64,17.64,48.6,34.9,26.23,11.91,7.52,3.61,6.348,4.53,1.595,0.223,4234,Latin America and the Caribbean
,1985,15,64,16.77,43.72,27.67,28.86,14.47,10.65,4.86,6.762,4.513,1.939,0.31,4988,Latin America and the Caribbean
,1990,15,64,14.98,40.33,25.25,32.43,17.05,12.25,6.1,7.235,4.648,2.219,0.367,5844,Latin America and the Caribbean
,1995,15,64,15.98,38.85,24.59,31.32,17.19,13.85,6.96,7.315,4.613,2.286,0.416,6737,Latin America and the Caribbean
,2000,15,64,16.87,37.48,24.91,30.58,17.53,15.07,7.74,7.415,4.611,2.348,0.456,7437,Latin America and the Caribbean
,2005,15,64,11.14,44.26,31.25,31.01,20.09,13.6,6.87,7.7,4.942,2.349,0.409,8174,Latin America and the Caribbean
,2010,15,64,5.74,50.6,37.86,33.68,27.34,9.99,5.61,8.015,5.274,2.43,0.312,8973,Latin America and the Caribbean
,2015,15,64,1.91,40.14,31.48,45.47,35.52,12.48,9.92,9.252,5.625,3.178,0.448,10430,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
El Salvador,1950,15,64,63.76,32.46,6.31,3.36,1.3,0.39,0.25,1.547,1.388,0.146,0.013,1050,Latin America and the Caribbean
,1955,15,64,60.87,34.33,5.94,4.38,1.68,0.42,0.24,1.695,1.496,0.186,0.013,1172,Latin America and the Caribbean
,1960,15,64,55.91,37.45,6.32,6.28,2.31,0.43,0.25,1.985,1.715,0.256,0.013,1324,Latin America and the Caribbean
,1965,15,64,50.49,40.81,9.73,7.55,2.69,1.15,0.75,2.414,2.038,0.338,0.038,1530,Latin America and the Caribbean
,1970,15,64,43.86,44.83,12.65,9.35,3.33,1.91,1.19,2.904,2.4,0.442,0.062,1828,Latin America and the Caribbean
,1975,15,64,38.27,48.7,15.62,9.41,3.46,3.63,2.62,3.369,2.712,0.533,0.125,2116,Latin America and the Caribbean
,1980,15,64,33.37,51.56,17.56,10.78,3.98,4.29,3.15,3.744,2.978,0.618,0.149,2377,Latin America and the Caribbean
,1985,15,64,30.87,52.33,18.98,9.57,3.86,7.23,5.43,4.571,3.565,0.753,0.253,2515,Latin America and the Caribbean
,1990,15,64,27.49,52.91,19.92,13.23,5.11,6.18,4.6,5.081,4.092,0.773,0.216,2810,Latin America and the Caribbean
,1995,15,64,22.95,49.8,13.87,19.08,7.68,8.17,6.2,5.802,4.579,0.936,0.288,3286,Latin America and the Caribbean
,2000,15,64,17.7,45.07,17.89,27.88,12.33,9.35,7.13,7.039,5.546,1.164,0.33,3730,Latin America and the Caribbean
,2005,15,64,12.02,41.95,19.12,35.83,16.78,10.2,7.73,8.083,6.352,1.372,0.359,4174,Latin America and the Caribbean
,2010,15,64,3.19,49.13,14.98,42.36,24.92,5.32,4.02,8.065,6.327,1.551,0.187,4653,Latin America and the Caribbean
,2015,15,64,12.8,38.7,16.71,41.73,25.13,6.77,5.72,7.747,5.726,1.772,0.25,4041,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Guatemala,1950,15,64,69.05,28.12,5.84,2.49,1.38,0.36,0.24,1.316,1.19,0.115,0.012,1664,Latin America and the Caribbean
,1955,15,64,69.35,27.24,5.99,2.93,1.63,0.47,0.29,1.354,1.201,0.138,0.015,1882,Latin America and the Caribbean
,1960,15,64,69.24,26.63,6.04,3.52,1.69,0.61,0.37,1.408,1.228,0.161,0.019,2135,Latin America and the Caribbean
,1965,15,64,68.21,26.92,6.73,4.26,1.89,0.61,0.42,1.507,1.302,0.184,0.021,2464,Latin America and the Caribbean
,1970,15,64,64.34,29.15,7.23,5.52,2.57,0.99,0.58,1.777,1.482,0.264,0.031,2843,Latin America and the Caribbean
,1975,15,64,59.37,32.24,8.08,7.26,3.41,1.13,0.73,2.106,1.713,0.355,0.037,3248,Latin America and the Caribbean
,1980,15,64,46.55,40.86,11.41,10.49,5.18,2.01,1.46,2.944,2.318,0.557,0.069,3624,Latin America and the Caribbean
,1985,15,64,42.41,43.91,14.46,11.45,5.81,2.23,1.62,3.272,2.572,0.623,0.077,4061,Latin America and the Caribbean
,1990,15,64,37.7,46.15,15.58,13.63,7.21,2.52,1.81,3.661,2.821,0.753,0.087,4563,Latin America and the Caribbean
,1995,15,64,33.82,48.5,16.39,14.87,8.65,2.81,2.04,3.96,3.007,0.856,0.097,5130,Latin America and the Caribbean
,2000,15,64,30.18,49.26,17.11,17.84,11.63,2.72,2.08,4.353,3.225,1.033,0.096,5792,Latin America and the Caribbean
,2005,15,64,27.5,53.5,20.18,16.65,8.78,2.34,1.82,4.331,3.35,0.897,0.083,6610,Latin America and the Caribbean
,2010,15,64,19.16,52.74,22.87,28.08,14.48,0.01,0.01,5.213,3.954,1.259,0,7666,Latin America and the Caribbean
,2015,15,64,18.32,49.07,23.77,29.33,18.07,3.28,1.86,5.809,4.142,1.565,0.103,9632,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Guyana,1950,15,64,18.07,75.71,44.62,5.69,2.16,0.52,0.29,4.363,3.983,0.364,0.016,230,Latin America and the Caribbean
,1955,15,64,15.54,76.66,45.19,7.15,2.67,0.65,0.37,4.601,4.124,0.457,0.021,248,Latin America and the Caribbean
,1960,15,64,12.76,77,45.62,9.52,3.46,0.73,0.42,4.912,4.293,0.596,0.023,275,Latin America and the Caribbean
,1965,15,64,10.2,74.91,44.48,14.11,4.7,0.78,0.45,5.354,4.475,0.854,0.025,320,Latin America and the Caribbean
,1970,15,64,7.51,73.43,43.17,18.28,6.29,0.77,0.45,5.759,4.641,1.094,0.024,346,Latin America and the Caribbean
,1975,15,64,5.85,70.93,41.6,21.89,8.11,1.32,0.68,6.158,4.769,1.349,0.04,382,Latin America and the Caribbean
,1980,15,64,4.57,66.48,38.78,27.32,10.96,1.65,0.9,6.647,4.896,1.7,0.051,420,Latin America and the Caribbean
,1985,15,64,4.91,60.38,35.16,33.35,14.47,1.36,0.81,7.045,4.949,2.052,0.044,429,Latin America and the Caribbean
,1990,15,64,5.14,56.25,32.7,37.33,17.61,1.29,0.74,7.275,4.985,2.249,0.041,428,Latin America and the Caribbean
,1995,15,64,5.32,47.13,27.38,46.76,22.96,0.79,0.47,7.917,5.088,2.804,0.025,453,Latin America and the Caribbean
,2000,15,64,5.2,40.28,23.37,54.47,27.55,0.1,0.07,8.428,5.184,3.241,0.003,479,Latin America and the Caribbean
,2005,15,64,5.18,35.73,20.69,58.85,31.22,0.24,0.13,8.794,5.238,3.548,0.007,492,Latin America and the Caribbean
,2010,15,64,4.24,32.12,18.56,63.22,34.8,0.42,0.22,9,5.339,3.649,0.013,503,Latin America and the Caribbean
,2015,15,64,3.65,31.26,18.07,63.55,34.91,1.53,0.56,8.909,5.385,3.482,0.042,498,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Haiti,1950,15,64,89.57,7.77,2.61,2.5,1,0.17,0.13,0.604,0.471,0.127,0.006,1891,Latin America and the Caribbean
,1955,15,64,87.66,9.22,2.09,2.92,1.22,0.2,0.14,0.683,0.526,0.15,0.007,1991,Latin America and the Caribbean
,1960,15,64,84.69,11.52,2,3.57,1.59,0.23,0.16,0.827,0.633,0.186,0.008,2112,Latin America and the Caribbean
,1965,15,64,81.47,14.05,2.1,4.24,1.99,0.25,0.17,0.986,0.754,0.224,0.008,2257,Latin America and the Caribbean
,1970,15,64,77.48,16.75,2.32,5.49,2.69,0.28,0.21,1.22,0.918,0.292,0.01,2457,Latin America and the Caribbean
,1975,15,64,72.83,19.18,2.54,7.54,3.92,0.45,0.29,1.56,1.131,0.414,0.015,2674,Latin America and the Caribbean
,1980,15,64,65.89,22.61,2.88,10.9,5.89,0.56,0.43,2.074,1.452,0.602,0.02,2935,Latin America and the Caribbean
,1985,15,64,46.75,37.8,4.71,14.82,8.42,0.63,0.44,3.05,2.203,0.826,0.021,3236,Latin America and the Caribbean
,1990,15,64,41.62,38.91,4.72,18.76,11.17,0.71,0.53,3.561,2.477,1.059,0.025,3555,Latin America and the Caribbean
,1995,15,64,36.33,40.43,4.74,22.49,13.9,0.75,0.57,4.06,2.75,1.283,0.027,3921,Latin America and the Caribbean
,2000,15,64,33.64,39.81,4.54,25.76,16.59,0.79,0.61,4.443,2.923,1.492,0.028,4414,Latin America and the Caribbean
,2005,15,64,27.9,42.66,4.67,28.6,19.24,0.85,0.66,4.904,3.186,1.687,0.03,4990,Latin America and the Caribbean
,2010,15,64,22.88,46.84,4.95,29.35,20.58,0.92,0.73,5.171,3.37,1.768,0.033,5442,Latin America and the Caribbean
,2015,15,64,18.19,51.89,5.34,29.09,20.55,0.98,0.73,5.318,3.521,1.763,0.034,6523,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Honduras,1950,15,64,62.31,33.6,6.85,3.62,2.26,0.48,0.29,1.645,1.459,0.171,0.015,726,Latin America and the Caribbean
,1955,15,64,59.88,35.63,7.12,4.01,2.48,0.48,0.29,1.754,1.552,0.186,0.015,838,Latin America and the Caribbean
,1960,15,64,56.54,38.33,7.88,4.73,2.93,0.45,0.27,1.925,1.697,0.214,0.014,969,Latin America and the Caribbean
,1965,15,64,51.71,42.15,7.72,5.53,3.3,0.61,0.33,2.135,1.864,0.251,0.019,1122,Latin America and the Caribbean
,1970,15,64,47.3,45.44,8.45,6.46,3.71,0.79,0.42,2.384,2.052,0.308,0.024,1280,Latin America and the Caribbean
,1975,15,64,42.82,48.44,11.49,7.83,4.22,0.91,0.5,2.731,2.323,0.381,0.028,1489,Latin America and the Caribbean
,1980,15,64,32.22,52.67,17.31,12.84,6.22,2.27,1.13,3.745,3.006,0.671,0.068,1789,Latin America and the Caribbean
,1985,15,64,23.02,55.58,20.8,18.29,9.28,3.09,1.75,4.648,3.574,0.977,0.097,2131,Latin America and the Caribbean
,1990,15,64,19.07,57.31,25.12,20.17,9.68,3.45,1.98,5.073,3.89,1.074,0.109,2526,Latin America and the Caribbean
,1995,15,64,15.5,57.43,26.67,23.2,10.34,3.86,2.24,5.471,4.147,1.202,0.122,2986,Latin America and the Caribbean
,2000,15,64,12.84,56.91,29.65,25.59,11.37,4.66,2.6,5.873,4.412,1.316,0.145,3519,Latin America and the Caribbean
,2005,15,64,11.11,53.83,28.98,30.32,13.89,4.75,2.77,6.237,4.588,1.498,0.15,4103,Latin America and the Caribbean
,2010,15,64,9.8,49.32,27.48,37.11,17.88,3.78,2.46,6.604,4.757,1.722,0.125,4756,Latin America and the Caribbean
,2015,15,64,9.92,45.28,26.95,37.62,17.11,7.25,6.72,7.037,4.86,1.897,0.279,5644,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jamaica,1950,15,64,17.63,77.77,27.43,4.25,1.7,0.35,0.21,3.643,3.432,0.2,0.011,845,Latin America and the Caribbean
,1955,15,64,16.44,78.52,28.33,4.67,1.88,0.37,0.22,3.739,3.508,0.219,0.012,907,Latin America and the Caribbean
,1960,15,64,15.26,77.56,28.94,6.83,2.51,0.32,0.21,3.935,3.625,0.3,0.011,880,Latin America and the Caribbean
,1965,15,64,9.21,79.62,31.25,10.38,3.47,0.78,0.42,4.483,3.996,0.463,0.024,901,Latin America and the Caribbean
,1970,15,64,3.42,82.7,34.19,12.8,4.44,1.09,0.63,4.957,4.34,0.583,0.034,887,Latin America and the Caribbean
,1975,15,64,2.52,75.96,33.82,19.98,7.14,1.54,0.82,5.538,4.585,0.906,0.047,987,Latin America and the Caribbean
,1980,15,64,2.06,65.79,31.19,30.53,12.4,1.58,0.94,6.268,4.836,1.382,0.05,1132,Latin America and the Caribbean
,1985,15,64,3.99,54.18,26.95,39.42,17.03,2.41,1.37,6.857,4.944,1.838,0.076,1294,Latin America and the Caribbean
,1990,15,64,3.85,46.35,23.79,46.49,21.58,3.3,1.88,7.476,5.092,2.28,0.104,1362,Latin America and the Caribbean
,1995,15,64,4.85,32.93,17.48,53.75,26.34,8.47,4.7,8.549,5.246,3.041,0.263,1461,Latin America and the Caribbean
,2000,15,64,5.24,20.09,10.74,61.29,30.56,13.31,7.7,9.587,5.401,3.765,0.42,1533,Latin America and the Caribbean
,2005,15,64,4.88,14.98,8.05,65.75,33.92,14.4,8.27,10.095,5.499,4.142,0.453,1623,Latin America and the Caribbean
,2010,15,64,5.3,11.18,6.13,67.93,36.71,15.59,8.94,10.335,5.53,4.314,0.49,1717,Latin America and the Caribbean
,2015,15,64,5.37,8.39,4.64,67.12,37.31,19.12,10.4,10.552,5.565,4.397,0.59,1933,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mexico,1950,15,64,45.29,49.03,10.64,4.34,1.48,1.34,0.89,2.203,1.776,0.382,0.045,14863,Latin America and the Caribbean
,1955,15,64,42.44,51.03,11.66,5.24,1.6,1.3,0.86,2.362,1.894,0.424,0.043,16474,Latin America and the Caribbean
,1960,15,64,39.71,52.48,12.12,6.61,1.94,1.25,0.82,2.547,2.008,0.498,0.041,18618,Latin America and the Caribbean
,1965,15,64,35.18,54.28,14.33,8.69,3.57,1.85,1.29,3.023,2.242,0.718,0.063,21346,Latin America and the Caribbean
,1970,15,64,30.69,56.49,17.32,10.6,4.21,2.24,1.57,3.48,2.62,0.783,0.076,24904,Latin America and the Caribbean
,1975,15,64,28.98,51.54,17.9,15.09,6.09,4.39,2.57,4.194,2.961,1.094,0.139,29228,Latin America and the Caribbean
,1980,15,64,25.91,46.74,19.23,21.45,8.64,5.87,3.5,5.008,3.388,1.433,0.187,34466,Latin America and the Caribbean
,1985,15,64,19.58,44.44,19.43,29.07,11.68,6.91,4.09,5.897,3.887,1.79,0.22,40659,Latin America and the Caribbean
,1990,15,64,14.23,41.74,19.73,36.51,14.22,7.53,4.66,6.683,4.337,2.102,0.244,47929,Latin America and the Caribbean
,1995,15,64,10.84,38.86,19.61,40.54,16.22,9.76,6.1,7.37,4.66,2.393,0.317,55099,Latin America and the Caribbean
,2000,15,64,7.9,36.38,19.49,43.98,17.77,11.74,7.57,7.96,4.935,2.639,0.386,61619,Latin America and the Caribbean
,2005,15,64,5.07,29.19,16.48,50.34,21.51,15.41,9.8,8.904,5.256,3.144,0.504,68151,Latin America and the Caribbean
,2010,15,64,4.77,26.84,16.04,50.63,20.79,17.77,11.26,9.185,5.36,3.244,0.581,74660,Latin America and the Caribbean
,2015,15,64,10.9,15.34,9.57,57.1,21.57,16.66,13.89,9.143,5.173,3.36,0.611,79987,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nicaragua,1950,15,64,64.1,32.72,7.72,2.7,1.44,0.45,0.35,1.544,1.402,0.126,0.016,632,Latin America and the Caribbean
,1955,15,64,59.92,35.32,8.31,3.57,1.86,1.19,1.02,1.834,1.595,0.195,0.044,709,Latin America and the Caribbean
,1960,15,64,54.63,38.76,9.17,4.54,2.29,2.07,1.89,2.187,1.834,0.274,0.079,802,Latin America and the Caribbean
,1965,15,64,50.54,39.66,9.47,6.31,3.05,3.49,3.27,2.606,2.062,0.409,0.135,925,Latin America and the Caribbean
,1970,15,64,47.5,38.92,9.4,8.09,3.78,5.43,5.21,3.069,2.261,0.595,0.213,1096,Latin America and the Caribbean
,1975,15,64,44.92,39.36,9.66,9.38,4.21,6.33,6.12,3.383,2.414,0.721,0.249,1298,Latin America and the Caribbean
,1980,15,64,42.62,37.91,9.44,11.29,4.93,8.18,7.95,3.838,2.589,0.926,0.323,1527,Latin America and the Caribbean
,1985,15,64,39.11,38.39,9.73,13.89,6.21,8.61,8.4,4.215,2.793,1.081,0.34,1762,Latin America and the Caribbean
,1990,15,64,34.56,39.37,10.16,17.4,7.69,8.67,8.49,4.638,3.05,1.245,0.343,2005,Latin America and the Caribbean
,1995,15,64,30.65,36.81,9.65,23.63,10.21,8.91,8.69,5.194,3.346,1.496,0.352,2344,Latin America and the Caribbean
,2000,15,64,25.31,37.86,10.11,26.93,12.11,9.9,9.68,5.699,3.649,1.658,0.392,2722,Latin America and the Caribbean
,2005,15,64,19.53,37.74,10.24,32.63,15.13,10.1,9.87,6.283,4.003,1.881,0.399,3169,Latin America and the Caribbean
,2010,15,64,15.35,36.55,10.08,37.1,17.9,10.99,10.74,6.819,4.285,2.1,0.435,3666,Latin America and the Caribbean
,2015,15,64,12.49,34.35,22.47,41.52,20.85,11.64,11.37,7.673,4.894,2.319,0.46,3980,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Panama,1950,15,64,31.21,53.37,22.94,13.92,3.56,1.47,0.98,3.874,3.213,0.613,0.049,479,Latin America and the Caribbean
,1955,15,64,26.65,55.29,24.48,16.08,4.06,1.98,1.2,4.264,3.477,0.723,0.064,528,Latin America and the Caribbean
,1960,15,64,21.57,57.1,27.81,19.08,4.71,2.26,1.41,4.751,3.828,0.849,0.073,593,Latin America and the Caribbean
,1965,15,64,20.05,55.99,25.18,20.31,6.67,3.65,1.75,5.009,3.873,1.028,0.108,676,Latin America and the Caribbean
,1970,15,64,18.9,54.75,26.1,21.67,10.55,4.7,2.18,5.394,4.008,1.249,0.138,780,Latin America and the Caribbean
,1975,15,64,15.25,51.08,25.22,26.8,12.51,6.87,2.84,6.096,4.309,1.592,0.194,912,Latin America and the Caribbean
,1980,15,64,12.12,45.37,24.06,34.29,16.66,8.19,3.72,6.889,4.631,2.02,0.238,1074,Latin America and the Caribbean
,1985,15,64,9.46,42.25,23.83,37.07,19.98,11.22,5.03,7.589,4.879,2.384,0.325,1253,Latin America and the Caribbean
,1990,15,64,7.83,39.13,23.07,40.58,23.04,12.46,6.23,8.078,5.048,2.656,0.374,1443,Latin America and the Caribbean
,1995,15,64,6.79,34.85,22.21,41.89,24.33,16.48,9.39,8.706,5.214,2.975,0.517,1643,Latin America and the Caribbean
,2000,15,64,5.69,31.88,21.09,42.6,25.89,19.83,13.19,9.24,5.335,3.245,0.66,1848,Latin America and the Caribbean
,2005,15,64,5.41,30.78,21.85,42.01,27.03,21.8,14.23,9.508,5.408,3.379,0.721,2058,Latin America and the Caribbean
,2010,15,64,5.21,29.37,21.48,42.4,28.57,23.02,15.14,9.724,5.451,3.51,0.763,2257,Latin America and the Caribbean
,2015,15,64,4.28,27.17,20.41,44.77,32.97,23.79,15.45,10.085,5.541,3.759,0.785,2563,Latin America and the Caribbean
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
